Location/Agglomeration,Road_Pop_Lden>=55dB,Road_Pop_Lden>=60dB,Road_Pop_Lden>=65dB,Road_Pop_Lden>=70dB,Road_Pop_Lden>=75dB,Road_Pop_Lnight>=50dB,Road_Pop_Lnight>=55dB,Road_Pop_Lnight>=60dB,Road_Pop_Lnight>=65dB,Road_Pop_Lnight>=70dB,Railways_Pop_Lden>=55dB,Railways_Pop_Lden>=60dB,Railways_Pop_Lden>=65dB,Railways_Pop_Lden>=70dB,Railways_Pop_Lden>=75dB,Railways_Pop_Lnight>=50dB,Railways_Pop_Lnight>=55dB,Railways_Pop_Lnight>=60dB,Railways_Pop_Lnight>=65dB,Railways_Pop_Lnight>=70dB,Industry_Pop_Lden>=55dB,Industry_Pop_Lden>=60dB,Industry_Pop_Lden>=65dB,Industry_Pop_Lden>=70dB,Industry_Pop_Lden>=75dB,Industry_Pop_Lnight>=50dB,Industry_Pop_Lnight>=55dB,Industry_Pop_Lnight>=60dB,Industry_Pop_Lnight>=65dB,Industry_Pop_Lnight>=70dB,AgglomerationPopulation,day,night
The Potteries,64800,36400,22900,8300,300,41500,25200,9700,500,0,1100,300,100,0,0,300,100,0,0,0,1700,1000,700,400,200,1500,900,700,400,200,365000,5.784,3.774
Crawley Urban Area,64300,25100,11800,3800,200,39100,15000,5000,700,0,15800,9300,5200,1800,400,12000,6800,3200,900,200,500,300,100,0,0,400,200,100,0,0,190000,7.662,3.737
St Albans/Hatfield,37300,14400,7400,2600,0,21300,9000,3400,200,0,6700,3500,1700,900,400,4300,2200,1100,600,200,0,0,0,0,0,0,0,0,0,0,130000,6.425,3.714
Cheltenham/Charlton Kings,16900,11400,8200,2600,0,12100,8600,3000,0,0,3100,2000,1300,600,100,2700,1800,1000,500,100,500,200,0,0,0,400,100,0,0,0,115000,5.75,3.704
Southend Urban Area,30500,20500,15500,6400,200,21500,16100,7200,200,0,9600,6400,2600,400,0,7700,4400,1200,0,0,700,300,100,0,0,600,200,100,0,0,285000,4.172,3.587
Eastbourne,15100,9900,7600,2300,0,10400,7900,2900,0,0,2400,1100,300,0,0,1600,600,100,0,0,200,0,0,0,0,100,0,0,0,0,115000,4.993,3.581
Warrington Urban Area,75200,25400,9700,2800,100,50200,14300,4000,200,0,5200,2800,1000,400,0,3900,1500,600,300,0,300,100,0,0,0,300,100,0,0,0,160000,9.208,3.55
Bournemouth Urban Area,49700,32900,21800,8600,100,34700,23000,10100,200,0,6200,3500,1300,0,0,4500,2100,100,0,0,700,400,200,100,0,600,400,200,100,0,415000,4.598,3.456
Derby Urban Area,32400,19700,13200,5400,200,20900,14100,6000,400,0,3000,1600,900,400,0,2600,1300,700,300,0,1500,900,600,400,200,1300,800,600,400,200,255000,4.481,3.341
Tyneside,166400,79200,46100,18200,1300,94800,51600,21000,2700,200,14200,8100,3900,1700,200,10400,6000,2500,1100,0,1400,600,100,0,0,1100,400,100,0,0,895000,5.133,3.332
Cambridge Urban Area,23900,15300,10200,2900,100,16800,11000,3400,100,0,3200,1600,1000,500,0,2400,1200,700,400,0,400,200,100,0,0,300,200,0,0,0,145000,6.12,3.33
Dearne Valley Urban Area,42300,17400,9900,3900,200,26800,11700,4700,400,0,3100,1300,400,100,0,2100,700,300,100,0,600,200,100,0,0,500,200,0,0,0,210000,4.806,3.178
Colchester,15000,9600,5900,2100,0,10200,6300,2500,0,0,2500,1100,400,100,0,1700,700,200,0,0,0,0,0,0,0,0,0,0,0,0,115000,4.842,3.087
Thanet,11600,8300,5900,2400,0,8600,6200,2700,0,0,6600,4100,1900,200,0,5600,3300,1200,100,0,300,200,100,100,0,300,100,100,100,0,125000,3.851,3.067
York,15000,9400,6800,2900,0,10200,7100,3200,0,0,5200,2600,1000,500,100,3500,1700,800,300,0,700,500,300,200,100,600,400,300,200,100,150000,3.635,3.029
