,,,,Longitude,Latitude
,,,,-2.361416,51.381448
,,,,-2.358854,51.380952
,,,,-2.361034,51.384047
,,,,-2.360713,51.379867
,,,,-2.36032,51.379185
,,,,-2.358703,51.387399
,,,,-2.361069,51.38491
,,,,-2.360893,51.382546
,,,,-2.359927,51.380337
,,,,-2.358638,51.380872
,,,,-2.357292,51.383348
,,,,-2.356732,51.3871
,,,,-2.361034,51.384047
,,,,-2.359175,51.383451
,,,,-2.357292,51.383348
,,,,-2.359927,51.380337
,,,,-2.36032,51.379185
,,,,-2.360713,51.379867
,,,,-2.361032,51.381979
,,,,-2.358854,51.380952
,,,,-2.357349,51.38324
,,,,-2.3623,51.380654
,,,,-2.359137,51.382255
,,,,-2.36032,51.379185
,,,,-2.358782,51.382777
,,,,-2.361032,51.381979
,,,,-2.360269,51.385443
,,,,-2.359175,51.383451
,,,,-2.357349,51.38324
,,,,-2.360317,51.38431
,,,,-2.361416,51.381448
,,,,-2.359175,51.383451
,,,,-2.359112,51.386355
,,,,-2.361364,51.380423
,,,,-2.361689,51.38329
,,,,-2.36158,51.384073
,,,,-2.359112,51.386355
,,,,-2.360269,51.385443
,,,,-2.361034,51.384047
,,,,-2.360317,51.38431
,,,,-2.358854,51.380952
,,,,-2.360554,51.383392
,,,,-2.357292,51.383348
,,,,-2.359597,51.380473
,,,,-2.360279,51.383079
,,,,-2.360554,51.383392
,,,,-2.360522,51.381127
,,,,-2.359597,51.380473
,,,,-2.360777,51.386098
,,,,-2.360713,51.379867
,,,,-2.360713,51.379867
,,,,-2.359137,51.382255
,,,,-2.361416,51.381448
,,,,-2.359506,51.381669
,,,,-2.36032,51.379185
,,,,-2.359884,51.384015
,,,,-2.359884,51.384015
,,,,-2.361416,51.381448
,,,,-2.361416,51.381448
,,,,-2.361069,51.38491
,,,,-2.358854,51.380952
,,,,-2.359649,51.38335
,,,,-2.361416,51.381448
,,,,-2.359112,51.386355
,,,,-2.359403,51.383099
,,,,-2.358782,51.382777
,,,,-2.361416,51.381448
,,,,-2.361069,51.38491
,,,,-2.361248,51.378454
,,,,-2.357663,51.381162
,,,,-2.358811,51.384585
,,,,-2.361069,51.38491
,,,,-2.359175,51.383451
,,,,-2.357349,51.38324
,,,,-2.360554,51.383392
,,,,-2.362024,51.383909
,,,,-2.362535,51.381309
,,,,-2.358907,51.380421
,,,,-2.359137,51.382255
,,,,-2.359175,51.383451
,,,,-2.358907,51.380421
,,,,-2.359175,51.383451
,,,,-2.361416,51.381448
,,,,-2.360893,51.382546
,,,,-2.359175,51.383451
,,,,-2.359927,51.380337
,,,,-2.359175,51.383451
,,,,-2.361416,51.381448
,,,,-2.358854,51.380952
,,,,-2.361416,51.381448
,,,,-2.361055,51.379453
,,,,-2.359175,51.383451
,,,,-2.359175,51.383451
,,,,-2.359506,51.381669
,,,,-2.358907,51.380421
,,,,-2.36032,51.379185
,,,,-2.359927,51.380337
,,,,-2.362535,51.381309
,,,,-2.361069,51.38491
,,,,-2.358703,51.387399
,,,,-2.360269,51.385443
,,,,-2.359959,51.384473
,,,,-2.361416,51.381448
,,,,-2.362002,51.382947
,,,,-2.360777,51.386098
