g_uk_datazone,g_uk_easting,g_uk_northing
E01024680,636781.1,165131.6
E01024221,636772.2,152131.5
E01024684,636749.3,165818.4
E01024665,636746.1,170293.8
E01024650,636740.2,164522.5
E01024660,636703.8,171145.5
E01024688,636703.1,167101.5
E01024222,636667.2,151366.3
E01024659,636620.9,170726.9
E01024683,636586.7,166388.4
E01026879,636465.2,300232.3
E01024224,636393.1,150690.4
E01024217,636391.6,152840.9
E01024225,636367.8,151251.7
E01024658,636341.4,171051.5
E01026513,636307,308593.2
E01026512,636305.1,308730.5
E01024237,636267.4,144835.9
E01024664,636251.3,170227.7
E01024679,636212.3,165245.5
E01030177,636204.6,245455.3
E01024219,636200.6,152169.9
E01024682,636142.9,166097.9
E01024223,636106.9,151433.7
E01026912,636086.5,298109
E01024657,636037,171162.2
E01026911,635986.3,298665.9
E01024694,635893.1,169698
E01024696,635838.5,168883.2
E01024677,635809.8,170334.8
E01024661,635739.3,170793.1
E01024226,635695.6,151782.6
E01024678,635511.3,170990.5
E01024695,635484.3,169806.8
E01024676,635377.7,170669.3
E01026740,635362.8,329910.2
E01024697,635317.1,170160.2
E01024236,635281.7,146441.1
E01030178,635216.1,249785.9
E01030231,634743.8,289333.7
E01024652,634657.1,164479
E01026769,634606.7,319005.4
E01026893,634506.9,291506.3
E01024710,634435.1,170525.2
E01030285,634432.8,283467.8
E01024672,634364.1,169867
E01026505,634339.8,311069.7
E01030201,634288.8,273347.8
E01024674,634134.9,170014.8
E01030232,634006.6,288668.3
E01024242,633969.9,156859.1
E01026880,633740.1,301493.2
E01024711,633732.8,170198.9
E01024201,633706,152519.1
E01030230,633699.3,289632
E01024673,633497.7,169630
E01026507,633412.4,309597.5
E01030202,633381.7,254064.7
E01024701,633366,166534.8
E01026510,633361.6,307950.1
E01026752,633249.4,333528.5
E01024712,633123.8,170121.5
E01024244,633108.9,158350.1
E01026506,632898.3,311520.1
E01030176,632833.6,261700.1
E01026892,632794.9,292251.7
E01024243,632744.6,157675.8
E01024238,632676.2,144372.1
E01024715,632557.7,170193
E01024716,632457,169497.8
E01026508,632303.4,308639
E01030213,632126.5,245361.7
E01024199,632082.3,141655
E01024714,632005.6,169987.9
E01024713,631871.8,169345.7
E01026767,631789.3,323031.1
E01030158,631754.1,236136.7
E01026930,631509.7,305336.8
E01024215,631479.5,141493.3
E01030156,631461.9,235825.7
E01024247,631430.1,142115.5
E01024249,631311.7,140628.4
E01026750,631277.8,336379.5
E01024195,631225.6,143275.3
E01024246,631208.4,141850.5
E01030157,631109.9,235643.3
E01024194,631093.1,142708.2
E01030166,631085,235188
E01024239,631051.6,142388.9
E01024200,631037.3,151305.2
E01024702,631029.7,164611.3
E01026545,631007.2,311414.2
E01026744,630973.3,318675.1
E01024214,630950.4,141208.5
E01026876,630944.5,299140.3
E01024193,630853.9,143129.9
E01024245,630842.3,157104.9
E01030167,630824.8,234853.4
E01024248,630777.6,141807.4
E01024202,630764.3,154907
E01024704,630738.8,164890.2
