"E01033139"	"3"
"E01033138"	"31"
"E01033137"	"15"
"E01033135"	"5"
"E01033133"	"5"
"E01033132"	"16"
"E01033131"	"19"
"E01033130"	"20"
"E01007875"	"19"
"E01007874"	"19"
"E01007877"	"29"
"E01007871"	"26"
"E01007870"	"43"
"E01007873"	"16"
"E01007872"	"39"
"E01007879"	"22"
"E01007878"	"34"
"E01005439"	"18"
"E01005438"	"40"
"E01005433"	"77"
"E01005432"	"37"
"E01005431"	"22"
"E01005430"	"22"
"E01005437"	"19"
"E01005436"	"6"
"E01005435"	"16"
"E01005434"	"120"
"E01030204"	"22"
"E01030205"	"8"
"E01010099"	"3"
"E01010098"	"9"
"E01010093"	"11"
"E01010092"	"9"
"E01010091"	"6"
"E01010090"	"25"
"E01010097"	"12"
"E01010096"	"28"
"E01010095"	"14"
"E01010094"	"7"
"E01004748"	"23"
"E01004749"	"97"
"E01004742"	"18"
"E01004743"	"8"
"E01004740"	"3"
"E01004741"	"13"
"E01004746"	"4"
"E01004747"	"40"
"E01004744"	"20"
"E01004745"	"17"
"W01000258"	"9"
"W01000259"	"18"
"W01000252"	"2"
"W01000253"	"11"
"W01000250"	"3"
"W01000251"	"12"
"W01000256"	"10"
"W01000257"	"3"
"W01000254"	"21"
"W01000255"	"18"
"E01010700"	"34"
"E01010707"	"8"
"E01016938"	"16"
"E01016939"	"2"
"E01016936"	"8"
"E01016937"	"7"
"E01016934"	"5"
"E01016935"	"35"
"E01016932"	"4"
"E01016933"	"16"
"E01016930"	"3"
"E01016931"	"6"
"E01011050"	"15"
"E01011051"	"20"
"E01011052"	"8"
"E01011053"	"7"
"E01011054"	"5"
"E01011055"	"4"
"E01011056"	"10"
"E01011057"	"13"
"E01011058"	"5"
"E01011059"	"34"
"E01019605"	"2"
"E01019604"	"2"
"E01019607"	"8"
"E01019606"	"3"
"E01019601"	"3"
"E01019600"	"9"
"E01019603"	"8"
"E01019602"	"9"
"E01027329"	"4"
"E01027328"	"18"
"E01019609"	"2"
"E01019608"	"14"
"E01000119"	"4"
"E01000118"	"12"
"E01000113"	"13"
"E01000112"	"21"
"E01000111"	"18"
"E01000117"	"7"
"E01000116"	"5"
"E01000115"	"3"
"E01000114"	"33"
"E01007469"	"8"
"E01007462"	"13"
"E01007463"	"15"
"E01007460"	"6"
"E01007461"	"30"
"E01007466"	"19"
"E01007467"	"21"
"E01007464"	"14"
"E01007465"	"11"
"E01016200"	"3"
"E01016201"	"4"
"E01016202"	"4"
"E01016203"	"1"
"E01016204"	"2"
"E01016205"	"5"
"E01016206"	"8"
"E01016207"	"7"
"E01016208"	"8"
"E01016209"	"3"
"E01026052"	"3"
"E01026053"	"10"
"E01026050"	"6"
"E01026051"	"3"
"E01026056"	"1"
"E01026057"	"6"
"E01026054"	"10"
"E01026055"	"2"
"E01026058"	"9"
"E01026059"	"2"
"E01021585"	"1"
"E01021584"	"2"
"E01012589"	"25"
"E01021586"	"5"
"E01028230"	"11"
"E01021580"	"8"
"E01021583"	"17"
"E01021582"	"24"
"E01012583"	"5"
"E01012582"	"5"
"E01012581"	"1"
"E01012580"	"11"
"E01012587"	"19"
"E01012586"	"14"
"E01012585"	"8"
"E01012584"	"5"
"W01001551"	"5"
"E01025273"	"2"
"E01026588"	"15"
"E01026589"	"12"
"E01026580"	"4"
"E01026581"	"8"
"E01026582"	"6"
"E01026583"	"4"
"E01026585"	"9"
"E01026586"	"2"
"E01026587"	"5"
"E01025272"	"4"
"E01024698"	"14"
"E01024699"	"30"
"E01024696"	"18"
"E01024697"	"10"
"E01024694"	"17"
"E01024695"	"14"
"E01024692"	"10"
"E01024693"	"9"
