LSOA_CODE,Pupil absence rates,Absence 10
E01014517,12.4,7.688
E01014594,12.4,7.688
E01014728,12.4,7.688
E01012327,12.3,7.626
E01005139,12.3,7.626
E01005147,12.3,7.626
E01005197,12.3,7.626
E01005252,12.3,7.626
E01005656,12.3,7.626
E01019198,12.3,7.626
E01019199,12.3,7.626
E01010943,12.3,7.626
E01011501,12.3,7.626
E01012761,12.3,7.626
E01012855,12.3,7.626
E01012881,12.3,7.626
E01012891,12.3,7.626
E01013786,12.3,7.626
E01013867,12.3,7.626
E01013882,12.3,7.626
E01010073,12.3,7.626
E01010084,12.3,7.626
E01026867,12.3,7.626
E01003347,12.3,7.626
E01031361,12.3,7.626
E01014595,12.3,7.626
E01012340,12.2,7.564
E01005117,12.2,7.564
E01005129,12.2,7.564
E01005132,12.2,7.564
E01005142,12.2,7.564
E01005188,12.2,7.564
E01005189,12.2,7.564
E01005223,12.2,7.564
E01005224,12.2,7.564
E01005683,12.2,7.564
E01005685,12.2,7.564
E01006559,12.2,7.564
E01018314,12.2,7.564
E01010612,12.2,7.564
E01011373,12.2,7.564
E01012790,12.2,7.564
E01012805,12.2,7.564
E01012846,12.2,7.564
E01012894,12.2,7.564
E01012903,12.2,7.564
E01012906,12.2,7.564
E01013638,12.2,7.564
E01013864,12.2,7.564
E01028263,12.2,7.564
E01021597,12.2,7.564
E01021598,12.2,7.564
E01017034,12.2,7.564
E01014494,12.2,7.564
E01008816,12.1,7.502
E01012074,12.1,7.502
E01005167,12.1,7.502
E01005191,12.1,7.502
E01005198,12.1,7.502
E01005225,12.1,7.502
E01005250,12.1,7.502
E01005654,12.1,7.502
E01005658,12.1,7.502
E01006755,12.1,7.502
E01006756,12.1,7.502
E01007885,12.1,7.502
E01007979,12.1,7.502
E01008011,12.1,7.502
E01008096,12.1,7.502
E01011674,12.1,7.502
E01012808,12.1,7.502
E01012878,12.1,7.502
E01012892,12.1,7.502
E01012895,12.1,7.502
E01012908,12.1,7.502
E01013880,12.1,7.502
E01026796,12.1,7.502
E01031343,12.1,7.502
E01014642,12.1,7.502
E01005148,12,7.44
E01005149,12,7.44
E01005196,12,7.44
E01005207,12,7.44
E01005609,12,7.44
E01005653,12,7.44
E01005680,12,7.44
E01005723,12,7.44
E01006648,12,7.44
E01006704,12,7.44
E01006754,12,7.44
E01018316,12,7.44
E01019245,12,7.44
E01010941,12,7.44
E01011324,12,7.44
E01011347,12,7.44
E01011364,12,7.44
E01011662,12,7.44
E01012879,12,7.44
E01012890,12,7.44
E01012899,12,7.44
E01013637,12,7.44
E01013879,12,7.44
E01013883,12,7.44
E01028235,12,7.44
E01010072,12,7.44
E01017149,12,7.44
E01031376,12,7.44
E01031379,12,7.44
E01014609,12,7.44
E01005143,11.9,7.378
E01005611,11.9,7.378
E01005613,11.9,7.378
E01005684,11.9,7.378
E01006734,11.9,7.378
E01006777,11.9,7.378
E01025606,11.9,7.378
E01010942,11.9,7.378
E01011429,11.9,7.378
E01012778,11.9,7.378
E01012897,11.9,7.378
E01012905,11.9,7.378
E01013640,11.9,7.378
E01013683,11.9,7.378
E01013877,11.9,7.378
E01026094,11.9,7.378
E01028261,11.9,7.378
E01026861,11.9,7.378
E01031344,11.9,7.378
E01031362,11.9,7.378
E01014607,11.9,7.378
E01008291,11.8,7.316
E01012083,11.8,7.316
E01005107,11.8,7.316
E01005146,11.8,7.316
E01005229,11.8,7.316
E01005608,11.8,7.316
E01005657,11.8,7.316
E01005682,11.8,7.316
E01005720,11.8,7.316
E01006646,11.8,7.316
E01006741,11.8,7.316
E01006753,11.8,7.316
